available_percent,available_filter,deep_cursor,arm,block,median_ms,sample_min_ms,sample_max_ms,vm_steps,fullscan_steps,sorts,autoindex_rows,reprepare,cache_hits,cache_misses,temp_spill_bytes,prepare_observation_ms,physical_read_bytes_12_samples,read_syscalls_12_samples,cache_bytes,censored
100%,true,true,before,2,1906.352275,1877.577987,1953.767138,50814970,100049,0,0,1,20005691,117912,0,0.117689,0,1415004,2102784,false
100%,true,true,control,2,7.644849,7.362124000000001,11.862369,802720,100049,0,0,1,791,1112,0,0.104119,0,13404,2102784,false
100%,true,true,store,2,7.438061,7.229055,7.836198,802720,100049,0,0,1,791,1112,0,0.070389,0,13404,2102784,false
100%,false,false,store,1,176.115185,173.113591,181.014928,5000019,199999,0,0,1,1593090,8724,0,0.120529,0,104748,2102784,false
100%,false,false,control,1,175.289795,174.229223,187.50749,5000019,199999,0,0,1,1593090,8724,0,0.120518,0,104748,2102784,false
100%,false,false,before,1,,,,,,,,,,,,,,,,true
100%,false,false,public,1,180.163637,173.357684,183.92287800000003,,,,,,,,,,0,104748,,false
100%,false,false,public,2,181.420026,173.975201,187.246408,,,,,,,,,,0,104748,,false
100%,false,false,before,2,,,,,,,,,,,,,,,,true
100%,false,false,control,2,175.664701,173.744453,183.536541,5000019,199999,0,0,1,1593090,8724,0,0.120358,0,104748,2102784,false
100%,false,false,store,2,181.579979,175.193701,185.44795,5000019,199999,0,0,1,1593090,8724,0,0.123429,0,104748,2102784,false
100%,false,true,store,1,97.879736,96.079307,101.171197,3500021,199999,0,0,1,796334,5480,0,0.120579,0,65820,2102784,false
100%,false,true,control,1,97.240579,95.571028,101.960232,3500021,199999,0,0,1,796334,5480,0,0.126879,0,65820,2102784,false
100%,false,true,before,1,,,,,,,,,,,,,,,,true
100%,false,true,public,1,97.592795,96.587186,103.374622,,,,,,,,,,0,65820,,false
100%,false,true,public,2,96.807449,96.11299700000001,105.18666,,,,,,,,,,0,65820,,false
100%,false,true,before,2,,,,,,,,,,,,,,,,true
100%,false,true,control,2,97.230954,95.653938,99.12251599999999,3500021,199999,0,0,1,796334,5480,0,0.119599,0,65820,2102784,false
100%,false,true,store,2,97.253378,95.68990099999999,104.041282,3500021,199999,0,0,1,796334,5480,0,0.116058,0,65820,2102784,false
